trade_date,AU.SHF,AG.SHF
20100104,0.0,
20100105,0.0,
20100106,0.0,
20100107,0.0,
20100108,0.0,
20100111,0.0,
20100112,0.0,
20100113,0.0,
20100114,0.0,
20100115,0.0,
20100118,0.0,
20100119,0.0,
20100120,0.0,
20100121,0.0,
20100122,0.0,
20100125,0.0,
20100126,0.0,
20100127,0.0,
20100128,0.0,
20100129,0.0,
20100201,0.0,
20100202,0.0,
20100203,0.0,
20100204,0.0,
20100205,0.0,
20100208,0.0,
20100209,0.0,
20100210,0.0,
20100211,0.0,
20100212,0.0,
20100222,0.0,
20100223,0.0,
20100224,0.0,
20100225,0.0,
20100226,0.0,
20100301,0.0,
20100302,0.0,
20100303,0.0,
20100304,0.0,
20100305,0.0,
20100308,0.0,
20100309,0.0,
20100310,0.0,
20100311,0.0,
20100312,0.0,
20100315,0.0,
20100316,0.0,
20100317,0.0,
20100318,0.0,
20100319,0.0,
20100322,0.0,
20100323,0.0,
20100324,0.0,
20100325,0.0,
20100326,0.0,
20100329,0.0,
20100330,0.0,
20100331,0.0,
20100401,0.0,
20100402,0.0,
20100406,21.427209011065738,
20100407,40.17875904578687,
20100408,55.51227754769525,
20100409,70.0013460817438,
20100412,81.59575549382576,
20100413,91.01876384664041,
20100414,98.88753564218425,
20100415,108.04388817727698,
20100416,116.39638663671282,
20100419,118.73339432489841,
20100420,123.26309967309098,
20100421,126.8138064667631,
20100422,129.8979954319497,
20100423,133.35650642178254,
20100426,133.8705315322252,
20100427,134.4551034490548,
20100428,134.22313300295528,
20100429,134.56906260582548,
20100430,134.6988910410718,
20100504,135.26235675582703,
20100505,135.19084491213454,
20100506,135.60025118246196,
20100507,131.23570513525615,
20100510,127.34342131835912,
20100511,123.78610223422027,
20100512,120.24716368308512,
20100513,117.39185275746956,
20100514,115.12524388704753,
20100517,113.31473636588588,
20100518,112.32766050895155,
20100519,111.15456854410867,
20100520,108.10633168640405,
20100521,105.4012222205686,
20100524,103.1220145738083,
20100525,102.13744329932744,
20100526,100.85445688232521,
20100527,100.02590528478981,
20100528,99.3397549970331,
20100531,98.69144944293564,
20100601,98.02644474948177,
20100602,97.67769487888924,
20100603,97.39774136770652,
20100604,98.39637258417075,
