Factor,Parameters,Mode,SharpRatio,POT
TimeSeriesMomentum,{'N': 10},RAW,0.2082,14.7126
TimeSeriesMomentum,{'N': 10},STATE_MACHINE,0.5395,17.5041
TimeSeriesMomentum,{'N': 20},RAW,0.2288,22.8626
TimeSeriesMomentum,{'N': 20},STATE_MACHINE,0.4279,18.6829
TimeSeriesMomentum,{'N': 30},RAW,0.3856,48.7821
TimeSeriesMomentum,{'N': 30},STATE_MACHINE,0.8049,43.0338
TimeSeriesMomentum,{'N': 40},RAW,0.3763,54.37
TimeSeriesMomentum,{'N': 40},STATE_MACHINE,0.6778,39.0872
TimeSeriesMomentum,{'N': 50},RAW,0.3619,56.5357
TimeSeriesMomentum,{'N': 50},STATE_MACHINE,0.6363,40.9804
TimeSeriesMomentum,{'N': 60},RAW,0.2722,44.9855
TimeSeriesMomentum,{'N': 60},STATE_MACHINE,0.5171,35.1761
