trade_date,AU.SHF,AG.SHF
20100104,0.0,
20100105,0.0,
20100106,0.0,
20100107,0.0,
20100108,0.0,
20100111,0.0,
20100112,0.0,
20100113,0.0,
20100114,0.0,
20100115,0.0,
20100118,0.0,
20100119,0.0,
20100120,0.0,
20100121,0.0,
20100122,0.0,
20100125,0.0,
20100126,0.0,
20100127,0.0,
20100128,0.0,
20100129,0.0,
20100201,0.0,
20100202,0.0,
20100203,0.0,
20100204,0.0,
20100205,0.0,
20100208,0.0,
20100209,0.0,
20100210,0.0,
20100211,0.0,
20100212,0.0,
20100222,0.0,
20100223,0.0,
20100224,0.0,
20100225,0.0,
20100226,0.0,
20100301,0.0,
20100302,0.0,
20100303,0.0,
20100304,0.0,
20100305,0.0,
20100308,0.0,
20100309,0.0,
20100310,0.0,
20100311,0.0,
20100312,0.0,
20100315,0.0,
20100316,0.0,
20100317,0.0,
20100318,0.0,
20100319,0.0,
20100322,-18.076853773684327,
20100323,-32.9289666324061,
20100324,-45.4020778360908,
20100325,-55.883100872334,
20100326,-65.72620105391363,
20100329,-73.48718275803132,
20100330,-79.823438924804,
20100331,-87.50870728730887,
20100401,-93.71967804932574,
20100402,-98.09590419051891,
20100406,-101.68736560158563,
20100407,-105.84607376755635,
20100408,-109.24002284806909,
20100409,-113.96037182379524,
20100412,-117.56220526493335,
20100413,-120.4458418187423,
20100414,-122.96422422343198,
20100415,-127.74298926609535,
20100416,-132.5138277938396,
20100419,-131.92038816213744,
20100420,-134.05245594220392,
20100421,-135.64146003963853,
20100422,-137.12062004059771,
20100423,-139.2659258586699,
20100426,-138.70551060460136,
20100427,-138.41099510481288,
20100428,-137.45977142116627,
20100429,-137.21722117157313,
20100430,-136.8655661374689,
20100504,-137.0350908628415,
20100505,-136.64126368494834,
20100506,-136.78695742300124,
20100507,-132.20664658595976,
20100510,-128.13782794723969,
20100511,-124.43607128577592,
20100512,-120.77895653780057,
20100513,-117.82695599845566,
20100514,-115.48123744532319,
20100517,-113.60600382096248,
20100518,-112.56597024378907,
20100519,-111.34954923548915,
20100520,-108.26586134247978,
20100521,-105.53174648429031,
20100524,-103.2288071529892,
20100525,-102.22481904577752,
20100526,-100.92594612931867,
