trade_date,M.DCE,Y.DCE,P.DCE,OI.ZCE,RM.ZCE
20100104,0.0,0.0,0.0,,
20100105,0.0,0.0,0.0,,
20100106,-62.49469359305702,56.9899573336046,-18.34327910943881,,
20100107,-40.21737334351999,22.24985872893475,-12.673742496629178,,
20100108,-32.00028901027376,9.916433260072571,-10.469139541982537,,
20100111,-28.525954849862703,2.1371074116521487,-11.422224708329987,,
20100112,-26.260023571820877,-2.694983308616294,-12.663323543695894,,
20100113,-24.434939199398645,-5.475859136546765,-12.966706303321535,,
20100114,-24.079510350396447,-8.06408589323609,-12.644832814398653,,
20100115,-23.636721987589453,-10.474734167232432,-12.67108212858077,,
20100118,-22.43524593016807,-11.152334663553793,-12.364574224427436,,
20100119,-21.89201232813755,-11.78003594788067,-12.164754759900884,,
20100120,-22.053443104687158,-13.202273920588457,-12.7522390394059,,
20100121,-21.220268522723302,-12.869224591481395,-12.093682919896766,,
20100122,-19.991371096700426,-11.619070480615695,-10.742813334747787,,
20100125,-19.201510977211747,-11.089914006372442,-9.685459878985068,,
20100126,-19.15574229426468,-11.38450160513052,-9.611275323818527,,
20100127,-19.281895152398867,-10.784016281696498,-9.189192880654307,,
20100128,-19.62680831306185,-9.968667416619656,-8.39142245538496,,
20100129,-20.22626209460372,-9.936966730810118,-8.348207350730998,,
20100201,-20.995573884204813,-10.414227032848897,-8.794975325301516,,
20100202,-21.783786705911794,-11.064352872530979,-9.352254729210854,,
20100203,-21.479655760167773,-10.889019000760118,-9.203834823378745,,
20100204,-21.052011434375277,-10.68853755729317,-9.214992067709188,,
20100205,-20.09131490470154,-10.343758755369151,-8.988121198009484,,
20100208,-18.958550225229256,-9.8421454538373,-8.51525220388708,,
20100209,-17.779399984426536,-9.378430439280004,-8.16374720260814,,
20100210,-17.091787566551325,-9.339978345755277,-8.171593747899463,,
20100211,-16.275184434639225,-9.290626852792764,-8.257810515762616,,
20100212,-15.622305459597705,-9.248040920176795,-8.363243872175692,,
