trade_date,{'N': 10},{'N': 20},{'N': 30},{'N': 40},{'N': 50},{'N': 60}
20100104,0.0,0.0,0.0,0.0,0.0,0.0
20100105,0.0,0.0,0.0,0.0,0.0,0.0
20100106,0.0,0.0,0.0,0.0,0.0,0.0
20100107,0.0,0.0,0.0,0.0,0.0,0.0
20100108,0.0,0.0,0.0,0.0,0.0,0.0
20100111,0.0,0.0,0.0,0.0,0.0,0.0
20100112,0.0,0.0,0.0,0.0,0.0,0.0
20100113,0.0,0.0,0.0,0.0,0.0,0.0
20100114,0.0,0.0,0.0,0.0,0.0,0.0
20100115,0.0,0.0,0.0,0.0,0.0,0.0
20100118,-0.04160602857121657,0.0,0.0,0.0,0.0,0.0
20100119,-0.3703441656491213,0.0,0.0,0.0,0.0,0.0
20100120,0.2328531887955568,0.0,0.0,0.0,0.0,0.0
20100121,0.03634292258998931,0.0,0.0,0.0,0.0,0.0
20100122,1.662155370366213,0.0,0.0,0.0,0.0,0.0
20100125,-0.1768658940944297,0.0,0.0,0.0,0.0,0.0
20100126,1.238871449816792,0.0,0.0,0.0,0.0,0.0
20100127,-0.12528053196604744,0.0,0.0,0.0,0.0,0.0
20100128,2.012010264320463,0.0,0.0,0.0,0.0,0.0
20100129,2.113092148354802,0.0,0.0,0.0,0.0,0.0
20100201,0.38375916445169894,0.0709219227765132,0.0,0.0,0.0,0.0
20100202,0.30346451192956214,0.10267479981139824,0.0,0.0,0.0,0.0
20100203,-2.1040290213016823,-0.9768488549851879,0.0,0.0,0.0,0.0
20100204,1.1024871805896594,0.6107611178273046,0.0,0.0,0.0,0.0
20100205,1.2391080927814953,0.7797665314400554,0.0,0.0,0.0,0.0
20100208,-0.08221426106781346,-0.056916695761931264,0.0,0.0,0.0,0.0
20100209,-0.3028380622111544,-0.2262555653648731,0.0,0.0,0.0,0.0
20100210,-0.8604042434473833,-0.6812821549810553,0.0,0.0,0.0,0.0
20100211,-0.5574352778586119,-0.72502770391576,0.0,0.0,0.0,0.0
20100212,-0.20412903111157552,-0.505923345304717,0.0,0.0,0.0,0.0
20100222,-0.11597720612468751,-0.9325762481001316,-0.18546562793762628,0.0,0.0,0.0
20100223,-0.010779941688554895,0.07459219605270748,0.042294574731019594,0.0,0.0,0.0
