trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,mapping_ts_code,sub_mapping_ts_code,sub_pre_close,sub_pre_settle,sub_open,sub_high,sub_low,sub_close,sub_settle,sub_change1,sub_change2,sub_vol,sub_amount,sub_oi,sub_oi_chg,ts_code,pre_main_close,roll_factor,adj_close,adj_open,adj_high,adj_low,adj_settle
20150327,,120190.0,120000.0,120010.0,115150.0,119270.0,119230.0,-920.0,-960.0,1798.0,21437.626,608.0,608.0,SN1507.SHF,SN1510.SHF,,120190.0,120200.0,122580.0,117000.0,120190.0,119680.0,0.0,-510.0,14.0,167.564,6.0,6.0,SN.SHF,,1.0,119270.0,120000.0,120010.0,115150.0,119230.0
20150330,119270.0,119230.0,119270.0,119530.0,115600.0,118080.0,117720.0,-1150.0,-1510.0,2468.0,29053.718,830.0,222.0,SN1507.SHF,SN1508.SHF,119260.0,119240.0,118000.0,118030.0,116000.0,117850.0,117230.0,-1390.0,-2010.0,38.0,445.474,8.0,4.0,SN.SHF,,1.0,118080.0,119270.0,119530.0,115600.0,117720.0
20150331,118080.0,117720.0,117650.0,119800.0,115960.0,118160.0,117790.0,440.0,70.0,4522.0,53268.596,1176.0,346.0,SN1507.SHF,SN1508.SHF,117850.0,117230.0,,,,117300.0,117300.0,70.0,70.0,0.0,0.0,8.0,0.0,SN.SHF,,1.0,118160.0,117650.0,119800.0,115960.0,117790.0
20150401,118160.0,117790.0,118020.0,118880.0,117070.0,117910.0,118280.0,120.0,490.0,4374.0,51736.104,1272.0,96.0,SN1507.SHF,SN1508.SHF,117300.0,117300.0,117770.0,118000.0,117770.0,118000.0,117840.0,700.0,540.0,12.0,141.416,14.0,6.0,SN.SHF,,1.0,117910.0,118020.0,118880.0,117070.0,118280.0
20150402,117910.0,118280.0,117970.0,119080.0,117970.0,118620.0,118540.0,340.0,260.0,2716.0,32195.974,1038.0,-234.0,SN1507.SHF,SN1508.SHF,118000.0,117840.0,,,,118100.0,118100.0,260.0,260.0,0.0,0.0,14.0,0.0,SN.SHF,,1.0,118620.0,117970.0,119080.0,117970.0,118540.0
20150403,118620.0,118540.0,118810.0,119470.0,118560.0,118850.0,118950.0,310.0,410.0,1390.0,16534.576,1000.0,-38.0,SN1507.SHF,SN1508.SHF,118100.0,118100.0,,,,118340.0,118340.0,240.0,240.0,0.0,0.0,14.0,0.0,SN.SHF,,1.0,118850.0,118810.0,119470.0,118560.0,118950.0
20150407,118850.0,118950.0,118890.0,119090.0,118270.0,118860.0,118630.0,-90.0,-320.0,848.0,10059.93,904.0,-96.0,SN1507.SHF,SN1508.SHF,118340.0,118340.0,,,,118340.0,118340.0,0.0,0.0,0.0,0.0,14.0,0.0,SN.SHF,,1.0,118860.0,118890.0,119090.0,118270.0,118630.0
20150408,118860.0,118630.0,118710.0,118890.0,117150.0,117870.0,118200.0,-760.0,-430.0,848.0,10023.478,750.0,-154.0,SN1507.SHF,SN1508.SHF,118340.0,118340.0,,,,118040.0,118040.0,-300.0,-300.0,0.0,0.0,14.0,0.0,SN.SHF,,1.0,117870.0,118710.0,118890.0,117150.0,118200.0
20150409,117870.0,118200.0,117570.0,117980.0,116500.0,116790.0,117190.0,-1410.0,-1010.0,816.0,9563.434,802.0,52.0,SN1507.SHF,SN1508.SHF,118040.0,118040.0,,,,117040.0,117040.0,-1000.0,-1000.0,0.0,0.0,14.0,0.0,SN.SHF,,1.0,116790.0,117570.0,117980.0,116500.0,117190.0
20150410,116790.0,117190.0,116500.0,116980.0,115320.0,115990.0,115860.0,-1200.0,-1330.0,2418.0,28015.058,916.0,114.0,SN1507.SHF,SN1508.SHF,117040.0,117040.0,,,,116280.0,116280.0,-760.0,-760.0,0.0,0.0,14.0,0.0,SN.SHF,,1.0,115990.0,116500.0,116980.0,115320.0,115860.0
