trade_date,CU.SHF,AL.SHF
20100104,0.0,0.0
20100105,0.0,0.0
20100106,0.0,0.0
20100107,0.0,0.0
20100108,0.0,0.0
20100111,0.0,0.0
20100112,0.0,0.0
20100113,0.0,0.0
20100114,0.0,0.0
20100115,0.0,0.0
20100118,0.0,0.0
20100119,0.0,0.0
20100120,0.0,0.0
20100121,0.0,0.0
20100122,0.0,0.0
20100125,0.0,0.0
20100126,0.0,0.0
20100127,0.0,0.0
20100128,0.0,0.0
20100129,0.0,0.0
20100201,0.0,0.0
20100202,0.0,0.0
20100203,0.0,0.0
20100204,0.0,0.0
20100205,0.0,0.0
20100208,0.0,0.0
20100209,0.0,0.0
20100210,0.0,0.0
20100211,0.0,0.0
20100212,0.0,0.0
20100222,0.0,0.0
20100223,0.0,0.0
20100224,0.0,0.0
20100225,0.0,0.0
20100226,0.0,0.0
20100301,0.0,0.0
20100302,0.0,0.0
20100303,0.0,0.0
20100304,0.0,0.0
20100305,0.0,0.0
20100308,0.0,0.0
20100309,0.0,0.0
20100310,0.0,0.0
20100311,0.0,0.0
20100312,0.0,0.0
20100315,0.0,0.0
20100316,0.0,0.0
20100317,0.0,0.0
20100318,0.0,0.0
20100319,0.0,0.0
20100322,0.0,0.0
20100323,0.0,0.0
20100324,0.0,0.0
20100325,0.0,0.0
20100326,0.0,0.0
20100329,0.0,0.0
20100330,0.0,0.0
20100331,0.0,0.0
20100401,0.0,0.0
20100402,13.609957910454236,-22.86712707850676
20100406,25.004179479044264,-42.44506674255969
20100407,34.41947973452292,-59.09000088939847
20100408,41.512085966855565,-72.46398204276629
20100409,48.20261560627232,-83.797846270104
20100412,53.667670811066024,-91.36824851925152
20100413,59.26930550155237,-99.86384878615947
20100414,63.89202737863676,-106.64919795789301
20100415,69.01577447310886,-112.75866536418474
20100416,73.63496354084349,-118.67702910787888
20100419,73.77676398940112,-117.64082476032272
20100420,73.90526774303157,-116.84349286458315
20100421,74.00854866609711,-116.31005621208651
20100422,74.09162489194935,-115.93141069472564
20100423,74.15245464418919,-116.04985576357686
20100426,74.2091551674552,-117.03578525894932
20100427,75.71912781124223,-117.3167500540549
20100428,74.49054807835705,-114.88575537456624
20100429,73.38066502816628,-112.80293025314265
20100430,72.9483462973537,-111.06851751091325
20100504,72.8254144186354,-109.6577381836878
20100505,72.33152366222912,-108.6015152112417
20100506,71.79251546233661,-107.68496958563054
20100507,70.87496847717978,-105.79602827538817
20100510,68.28762177747171,-103.03967329891806
20100511,45.655603152553624,-101.82136047012943
20100512,27.224705220695697,-100.84114820691948
20100513,12.393648497668616,-99.92954506959204
20100514,0.24060518637388095,-99.1982617793177
20100517,-8.535840553990115,-94.71110803095983
20100518,-16.188211867618886,-91.87186929188312
20100519,-22.645811778990677,-89.93832923819647
20100520,-27.659239403950945,-88.2729233479567
20100521,-31.76259919987138,-86.91079405687832
20100524,-34.48773976592453,-84.9556042448687
20100525,-36.802092124111255,-83.46284436999963
