trade_date,RB.SHF,HC.SHF,JM.DCE,J.DCE,I.DCE
20100104,0.0,,,,
20100105,0.0,,,,
20100106,0.0,,,,
20100107,0.0,,,,
20100108,0.0,,,,
20100111,0.0,,,,
20100112,0.0,,,,
20100113,0.0,,,,
20100114,0.0,,,,
20100115,0.0,,,,
20100118,0.0,,,,
20100119,0.0,,,,
20100120,0.0,,,,
20100121,0.0,,,,
20100122,0.0,,,,
20100125,0.0,,,,
20100126,0.0,,,,
20100127,0.0,,,,
20100128,0.0,,,,
20100129,0.0,,,,
20100201,0.0,,,,
20100202,0.0,,,,
20100203,0.0,,,,
20100204,0.0,,,,
20100205,0.0,,,,
20100208,0.0,,,,
20100209,0.0,,,,
20100210,0.0,,,,
20100211,0.0,,,,
20100212,0.0,,,,
20100222,0.0,,,,
20100223,0.0,,,,
20100224,0.0,,,,
20100225,0.0,,,,
20100226,0.0,,,,
20100301,0.0,,,,
20100302,0.0,,,,
20100303,0.0,,,,
20100304,0.0,,,,
20100305,0.0,,,,
20100308,0.0,,,,
20100309,0.0,,,,
20100310,0.0,,,,
20100311,0.0,,,,
20100312,0.0,,,,
20100315,0.0,,,,
20100316,0.0,,,,
20100317,0.0,,,,
20100318,0.0,,,,
20100319,21.3384121592194,,,,
20100322,40.021758079986206,,,,
20100323,55.71497747702875,,,,
20100324,68.6195762976733,,,,
20100325,80.53254160028317,,,,
20100326,90.22649240760724,,,,
20100329,98.2058987877973,,,,
20100330,105.58956248325373,,,,
20100331,111.79848498930124,,,,
20100401,116.88239057798745,,,,
20100402,120.98946645186334,,,,
20100406,124.02187832662531,,,,
20100407,126.43264401768465,,,,
20100408,127.38240250558009,,,,
20100409,127.79403897300338,,,,
20100412,128.05978012866248,,,,
20100413,128.3116731301306,,,,
20100414,137.35475384188842,,,,
20100415,143.61727206731572,,,,
20100416,149.80413318637815,,,,
20100419,148.73727657446543,,,,
20100420,147.69065923844596,,,,
20100421,147.16272383069665,,,,
20100422,147.2251492563261,,,,
20100423,147.5111697707929,,,,
20100426,147.7378390633974,,,,
20100427,95.2410334831401,,,,
20100428,54.98194574862534,,,,
20100429,22.0447919029223,,,,
20100430,-3.471547608554447,,,,
