trade_date,RB.SHF,HC.SHF,JM.DCE,J.DCE,I.DCE
20100104,0.0,,,,
20100105,0.0,,,,
20100106,0.0,,,,
20100107,0.0,,,,
20100108,0.0,,,,
20100111,0.0,,,,
20100112,0.0,,,,
20100113,0.0,,,,
20100114,0.0,,,,
20100115,0.0,,,,
20100118,0.0,,,,
20100119,0.0,,,,
20100120,0.0,,,,
20100121,0.0,,,,
20100122,0.0,,,,
20100125,0.0,,,,
20100126,0.0,,,,
20100127,0.0,,,,
20100128,0.0,,,,
20100129,0.0,,,,
20100201,0.0,,,,
20100202,0.0,,,,
20100203,0.0,,,,
20100204,0.0,,,,
20100205,0.0,,,,
20100208,0.0,,,,
20100209,0.0,,,,
20100210,0.0,,,,
20100211,0.0,,,,
20100212,0.0,,,,
20100222,0.0,,,,
20100223,0.0,,,,
20100224,0.0,,,,
20100225,0.0,,,,
20100226,0.0,,,,
20100301,0.0,,,,
20100302,0.0,,,,
20100303,0.0,,,,
20100304,0.0,,,,
20100305,0.0,,,,
20100308,0.0,,,,
20100309,0.0,,,,
20100310,0.0,,,,
20100311,0.0,,,,
20100312,0.0,,,,
20100315,0.0,,,,
20100316,0.0,,,,
20100317,0.0,,,,
20100318,0.0,,,,
20100319,0.0,,,,
20100322,0.0,,,,
20100323,0.0,,,,
20100324,0.0,,,,
20100325,0.0,,,,
20100326,0.0,,,,
20100329,0.0,,,,
20100330,0.0,,,,
20100331,0.0,,,,
20100401,0.0,,,,
20100402,0.0,,,,
20100406,-53.069130002250525,,,,
20100407,-95.7921460064693,,,,
20100408,-127.54301012937488,,,,
20100409,-156.22316924331986,,,,
20100412,-181.00761672347411,,,,
20100413,-206.68000564920428,,,,
20100414,-247.10944828782604,,,,
20100415,-291.8165253011619,,,,
20100416,-331.1655302217737,,,,
20100419,-342.9280168022415,,,,
20100420,-353.1990811357441,,,,
20100421,-362.6320756896568,,,,
20100422,-370.9053576987618,,,,
20100423,-379.1237119475556,,,,
20100426,-399.7288746556927,,,,
20100427,-402.4842672997733,,,,
20100428,-383.7867229744006,,,,
20100429,-374.0091423460035,,,,
20100430,-359.1236750536566,,,,
20100504,-345.6000104049116,,,,
20100505,-335.92173876047207,,,,
