trade_date,FU.SHF,SC.INE,LU.INE,BU.SHF,RU.SHF,SP.SHF,L.DCE,V.DCE,PP.DCE,EG.DCE,EB.DCE,PG.DCE,BZ.DCE,TA.ZCE,MA.ZCE,FG.ZCE,SA.ZCE,PF.ZCE,PX.ZCE,SH.ZCE,PL.ZCE
20100104,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100105,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100106,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100107,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100108,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100111,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100112,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100113,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100114,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100115,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100118,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100119,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100120,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100121,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100122,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100125,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100126,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100127,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100128,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100129,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100201,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100202,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100203,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100204,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100205,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100208,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100209,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100210,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100211,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100212,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100222,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100223,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100224,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100225,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100226,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100301,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100302,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100303,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100304,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100305,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100308,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100309,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100310,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100311,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100312,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100315,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100316,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100317,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100318,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100319,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,
20100322,0.0,,,,0.0,,-12.642737063979103,0.0,,,,,,0.0,,,,,,,
20100323,0.0,,,,0.0,,-22.998750769642808,0.0,,,,,,0.0,,,,,,,
20100324,0.0,,,,0.0,,-6.17850435970922,0.0,,,,,,0.0,,,,,,,
20100325,0.0,,,,0.0,,7.900519317603454,0.0,,,,,,0.0,,,,,,,
20100326,0.0,,,,0.0,,19.408040514934072,0.0,,,,,,0.0,,,,,,,
20100329,0.0,,,,0.0,,28.760620953667175,0.0,,,,,,0.0,,,,,,,
20100330,0.0,,,,0.0,,37.060875351409315,0.0,,,,,,0.0,,,,,,,
20100331,0.0,,,,0.0,,43.80173972934962,0.0,,,,,,0.0,,,,,,,
20100401,0.0,,,,0.0,,49.57953108296753,0.0,,,,,,0.0,,,,,,,
20100402,0.0,,,,0.0,,53.97859577706809,0.0,,,,,,0.0,,,,,,,
20100406,0.0,,,,0.0,,57.17529645259874,0.0,,,,,,0.0,,,,,,,
20100407,0.0,,,,0.0,,59.868845148757664,0.0,,,,,,0.0,,,,,,,
20100408,0.0,,,,0.0,,61.89890993566018,0.0,,,,,,0.0,,,,,,,
20100409,0.0,,,,0.0,,64.43267240980768,0.0,,,,,,0.0,,,,,,,
20100412,0.0,,,,0.0,,66.54288133621095,0.0,,,,,,0.0,,,,,,,
20100413,0.0,,,,0.0,,72.04549782191198,0.0,,,,,,0.0,,,,,,,
20100414,0.0,,,,0.0,,76.37139168417426,0.0,,,,,,0.0,,,,,,,
20100415,0.0,,,,0.0,,83.2586139725476,0.0,,,,,,0.0,,,,,,,
20100416,0.0,,,,0.0,,89.97483297697416,0.0,,,,,,0.0,,,,,,,
20100419,0.0,,,,0.0,,91.16557803447117,0.0,,,,,,0.0,,,,,,,
20100420,0.0,,,,0.0,,91.71222962725258,0.0,,,,,,0.0,,,,,,,
20100421,0.0,,,,0.0,,92.16755575005389,0.0,,,,,,0.0,,,,,,,
20100422,0.0,,,,0.0,,92.20618371625602,0.0,,,,,,0.0,,,,,,,
20100423,0.0,,,,0.0,,92.21527300692813,0.0,,,,,,0.0,,,,,,,
20100426,0.0,,,,0.0,,92.18709583467827,0.0,,,,,,0.0,,,,,,,
20100427,0.0,,,,0.0,,91.41521965778534,0.0,,,,,,0.0,,,,,,,
20100428,0.0,,,,0.0,,91.1005091810201,0.0,,,,,,0.0,,,,,,,
20100429,0.0,,,,0.0,,91.21040069100609,0.0,,,,,,0.0,,,,,,,
20100430,0.0,,,,0.0,,91.14365589407393,0.0,,,,,,0.0,,,,,,,
20100504,0.0,,,,0.0,,91.6281847399295,0.0,,,,,,0.0,,,,,,,
20100505,0.0,,,,0.0,,93.66735823061865,0.0,,,,,,0.0,,,,,,,
20100506,0.0,,,,0.0,,95.28608291282816,0.0,,,,,,0.0,,,,,,,
