trade_date,M.DCE,Y.DCE,P.DCE,OI.ZCE,RM.ZCE
20100104,0.0,0.0,0.0,,
20100105,0.0,0.0,0.0,,
20100106,0.0,0.0,0.0,,
20100107,0.0,0.0,0.0,,
20100108,0.0,0.0,0.0,,
20100111,0.0,0.0,0.0,,
20100112,0.0,0.0,0.0,,
20100113,0.0,0.0,0.0,,
20100114,0.0,0.0,0.0,,
20100115,0.0,0.0,0.0,,
20100118,0.0,0.0,0.0,,
20100119,0.0,0.0,0.0,,
20100120,0.0,0.0,0.0,,
20100121,0.0,0.0,0.0,,
20100122,0.0,0.0,0.0,,
20100125,0.0,0.0,0.0,,
20100126,0.0,0.0,0.0,,
20100127,0.0,0.0,0.0,,
20100128,0.0,0.0,0.0,,
20100129,0.0,0.0,0.0,,
20100201,16.589810157769794,16.030894478356814,-13.035143607546368,,
20100202,-3.06987478596457,29.091977883620128,-23.760550655934956,,
20100203,-18.141602822272947,38.22904109131966,-31.275303934666354,,
20100204,-31.38495972352471,47.23568516788181,-12.477801427722515,,
20100205,-41.96717769609757,54.907945112959965,2.9066850271076197,,
20100208,-50.4416155702529,28.88336704925993,15.3068907580966,,
20100209,-57.424841153758436,7.570115160059804,25.61111111074538,,
20100210,-66.04191527907454,-13.16430913608732,36.537913649076366,,
20100211,-72.00506400283022,-29.915907433847565,45.865990883327015,,
20100212,-76.9329926600593,-43.7580727068374,53.52535407326778,,
20100222,-80.24421877244171,-54.23521722771979,58.453357668840226,,
20100223,-81.45182495087496,-62.363699889550496,62.202578899345305,,
20100224,-82.95763603944566,-70.03164847565361,66.34653557346851,,
20100225,-84.12660595170108,-76.6560175685863,70.25664970270547,,
20100226,-85.04391755086874,-82.02004944037644,73.359462737531,,
20100301,-85.18931659120385,-86.25557311733797,75.70825660699042,,
20100302,-85.24331301756126,-90.66116714666562,45.325732371463545,,
20100303,-85.27915961122575,-94.39913692081478,53.40978875084885,,
20100304,-85.19701605803897,-97.52530714380369,59.638616559879324,,
