ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,mapping_ts_code,pre_main_close
PB.SHF,20110324,,18350.0,19230.0,19570.0,18830.0,18935.0,19095.0,585.0,745.0,73440.0,3506074.3,9696.0,,PB1109.SHF,
PB.SHF,20110325,18935.0,19095.0,18935.0,19135.0,18860.0,18950.0,18995.0,-145.0,-100.0,24858.0,1180466.85,8494.0,,PB1109.SHF,
PB.SHF,20110328,18950.0,18995.0,18900.0,19035.0,18500.0,18605.0,18775.0,-390.0,-220.0,16960.0,796226.15,8262.0,,PB1109.SHF,
PB.SHF,20110329,18605.0,18775.0,18530.0,18735.0,18485.0,18675.0,18635.0,-100.0,-140.0,10618.0,494775.52,7968.0,,PB1109.SHF,
PB.SHF,20110330,18675.0,18635.0,18800.0,18850.0,18695.0,18760.0,18755.0,125.0,120.0,8086.0,379213.55,7320.0,,PB1109.SHF,
PB.SHF,20110331,18760.0,18755.0,18700.0,18720.0,18580.0,18665.0,18650.0,-90.0,-105.0,3056.0,142487.35,6776.0,,PB1109.SHF,
PB.SHF,20110401,18665.0,18650.0,18780.0,18780.0,18570.0,18640.0,18665.0,-10.0,15.0,2550.0,118995.62,6716.0,,PB1109.SHF,
PB.SHF,20110406,18640.0,18665.0,18675.0,19360.0,18675.0,19220.0,19080.0,555.0,415.0,15400.0,734737.62,9362.0,,PB1109.SHF,
PB.SHF,20110407,19220.0,19080.0,19200.0,19300.0,19035.0,19075.0,19135.0,-5.0,55.0,10426.0,498821.1,8644.0,,PB1109.SHF,
PB.SHF,20110408,19075.0,19135.0,19090.0,19250.0,19005.0,19175.0,19145.0,40.0,10.0,8434.0,403720.35,9388.0,,PB1109.SHF,
PB.SHF,20110411,19175.0,19145.0,19250.0,19440.0,19145.0,19210.0,19285.0,65.0,140.0,13938.0,672127.02,10242.0,,PB1109.SHF,
PB.SHF,20110412,19210.0,19285.0,19000.0,19125.0,18790.0,18800.0,18955.0,-485.0,-330.0,9256.0,438690.7,9154.0,,PB1109.SHF,
PB.SHF,20110413,18800.0,18955.0,18610.0,18745.0,18540.0,18715.0,18645.0,-240.0,-310.0,5566.0,259488.8,8776.0,,PB1109.SHF,
PB.SHF,20110414,18715.0,18645.0,18555.0,18690.0,18540.0,18580.0,18605.0,-65.0,-40.0,3846.0,178920.78,8574.0,,PB1109.SHF,
PB.SHF,20110415,18580.0,18605.0,18605.0,18780.0,18505.0,18580.0,18650.0,-25.0,45.0,9992.0,465898.7,8818.0,,PB1109.SHF,
PB.SHF,20110418,18580.0,18650.0,18575.0,18650.0,18525.0,18580.0,18585.0,-70.0,-65.0,3334.0,154906.48,8898.0,,PB1109.SHF,
